# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2004-10-15
N 0.0000000	E 0.0000000	(  )	BSS	( 00:40:96:46:d0:84 )	15:17:09 (GMT)	[ 64 113 49 ]	# (  )	0021	00000200	100	110	9
N 0.0000000	E 0.0000000	( BAKAIR )	BSS	( 00:40:96:47:ee:0f )	15:17:27 (GMT)	[ 24 73 49 ]	# (  )	0021	00000080	100	110	7
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:98:cf:60 )	15:17:43 (GMT)	[ 65 114 49 ]	# (  )	0021	00000040	100	540	6
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a4:58:50 )	15:17:50 (GMT)	[ 51 100 49 ]	# (  )	0021	00000800	100	540	11
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a1:22:50 )	15:17:51 (GMT)	[ 66 115 49 ]	# (  )	0421	00000002	100	540	1
N 0.0000000	E 0.0000000	(  )	BSS	( 00:40:96:46:3a:a3 )	15:17:55 (GMT)	[ 57 106 49 ]	# (  )	0021	00000200	100	110	9
N 0.0000000	E 0.0000000	( NETGEAR )	BSS	( 00:09:5b:af:34:c6 )	15:17:57 (GMT)	[ 33 82 49 ]	# (  )	0005	00000800	100	110	11
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a1:20:40 )	15:17:58 (GMT)	[ 37 86 49 ]	# (  )	0021	00000800	100	540	11
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:98:a0:a0 )	15:18:09 (GMT)	[ 44 93 49 ]	# (  )	0021	00000040	100	540	6
N 0.0000000	E 0.0000000	( 2WIRE604 )	BSS	( 00:0d:72:81:69:d9 )	15:18:17 (GMT)	[ 32 81 49 ]	# (  )	0051	00000040	100	220	6
N 0.0000000	E 0.0000000	( 102177 )	BSS	( 00:0c:41:73:42:b0 )	15:18:20 (GMT)	[ 26 75 49 ]	# (  )	0015	00000040	100	110	6
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a1:25:20 )	15:18:22 (GMT)	[ 66 115 49 ]	# (  )	0021	00000040	100	540	6
N 0.0000000	E 0.0000000	( pibetaphi1 )	BSS	( 00:0f:66:b8:9f:5a )	15:18:22 (GMT)	[ 25 74 49 ]	# (  )	0005	00000040	100	110	6
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a4:59:b0 )	15:18:27 (GMT)	[ 57 106 49 ]	# (  )	0021	00000002	100	540	1
N 0.0000000	E 0.0000000	( geekhouse )	BSS	( 00:0d:88:9a:cc:ea )	15:18:28 (GMT)	[ 24 73 49 ]	# (  )	0005	00000040	100	110	6
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:98:d0:30 )	15:18:32 (GMT)	[ 64 113 49 ]	# (  )	0021	00000002	100	540	1
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a1:29:20 )	15:18:43 (GMT)	[ 66 115 49 ]	# (  )	0021	00000800	100	540	11
